cluster_id,target_label,factor_name,factor_family,meaning_cn,cluster_theme_cn,single_factor_status,validation_rank_ic_mean,suggested_keep_flag,suggested_drop_flag,corr_to_keep_factor,manual_review_note
Q01,y_quarter_avg_daily_return_close,income__commission_income,income,手续费及佣金收入，反映中间业务收入规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.031597,0,1,0.896455,
Q01,y_quarter_avg_daily_return_close,income__interest_expense,income,利息支出，反映负债端资金成本规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.023357,0,1,0.870835,
Q01,y_quarter_avg_daily_return_close,income__interest_income,income,利息收入，反映生息资产收入规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.023568,0,1,0.907962,
Q01,y_quarter_avg_daily_return_close,income__net_profit,income,净利润，反映期间最终盈利规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.041145,0,1,0.888703,
Q01,y_quarter_avg_daily_return_close,income__np_parent_company_owners,income,归母净利润，反映归属于母公司股东的盈利。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.048804,0,1,0.889736,
Q01,y_quarter_avg_daily_return_close,income__operating_profit,income,营业利润，反映主营经营利润。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.028211,0,1,0.893691,
Q01,y_quarter_avg_daily_return_close,income__operating_revenue,income,营业收入，反映收入总规模。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.033189,0,1,0.93083,
Q01,y_quarter_avg_daily_return_close,income__total_profit,income,利润总额，税前利润口径。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.028211,0,1,0.89379,
Q01,y_quarter_avg_daily_return_close,indicator__adjusted_profit,indicator,调整后利润，剔除部分非经常性影响后的利润口径。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.037743,0,1,0.890542,
Q01,y_quarter_avg_daily_return_close,indicator__operating_profit,indicator,经营利润指标口径，和利润表经营利润高度接近。,大规模簇：多数成员都在共同反映银行体量、经营规模或利润规模，强烈疑似“规模因子簇”。,A,0.019338,0,1,0.85235,
Q02,y_quarter_avg_daily_return_close,cash_flow__invest_withdrawal_cash,cash_flow,收回投资收到的现金，反映投资现金流入。,投资现金流簇：本质上都在描述投资活动流入/流出。,A,0.056969,1,0,,
Q02,y_quarter_avg_daily_return_close,cash_flow__invest_cash_paid,cash_flow,投资支付的现金，反映投资现金流出。,投资现金流簇：本质上都在描述投资活动流入/流出。,A,0.011663,0,1,0.923177,
Q02,y_quarter_avg_daily_return_close,cash_flow__subtotal_invest_cash_inflow,cash_flow,投资活动现金流入小计，投资流入总额。,投资现金流簇：本质上都在描述投资活动流入/流出。,A,0.037029,0,1,0.998358,
Q02,y_quarter_avg_daily_return_close,cash_flow__subtotal_invest_cash_outflow,cash_flow,投资活动现金流出小计，投资流出总额。,投资现金流簇：本质上都在描述投资活动流入/流出。,A,0.015089,0,1,0.920668,
Q03,y_quarter_avg_daily_return_close,indicator__inc_net_profit_annual,indicator,净利润同比增速，反映年度盈利改善。,利润增速簇：都在描述利润改善速度。,A,0.089146,1,0,,
Q03,y_quarter_avg_daily_return_close,indicator__inc_net_profit_to_shareholders_annual,indicator,归母净利润同比增速，和净利润同比几乎同义。,利润增速簇：都在描述利润改善速度。,A,0.074383,0,1,0.997927,
Q03,y_quarter_avg_daily_return_close,indicator__inc_operation_profit_annual,indicator,营业利润同比增速，反映经营利润改善。,利润增速簇：都在描述利润改善速度。,A,0.036185,0,1,0.96608,
Q04,y_quarter_avg_daily_return_close,indicator__roe,indicator,净资产收益率，反映股东资本回报能力。,盈利能力簇：都在描述资本或资产回报能力。,A,0.124165,1,0,,
Q04,y_quarter_avg_daily_return_close,indicator__inc_return,indicator,净资产收益率类回报指标口径，与 ROE 高度接近。,盈利能力簇：都在描述资本或资产回报能力。,A,0.111121,0,1,0.997302,
Q04,y_quarter_avg_daily_return_close,indicator__roa,indicator,总资产收益率，反映资产使用效率。,盈利能力簇：都在描述资本或资产回报能力。,A,0.040731,0,1,0.879294,
Q05,y_quarter_avg_daily_return_close,cash_flow__net_operate_cash_flow,cash_flow,经营活动现金流净额，反映经营现金创造能力。,现金含金量簇：都在描述经营现金流质量。,A,0.050865,1,0,,
Q05,y_quarter_avg_daily_return_close,indicator__ocf_to_revenue,indicator,经营现金流/收入，反映收入含金量。,现金含金量簇：都在描述经营现金流质量。,A,0.049566,0,1,0.892268,
Q06,y_quarter_avg_daily_return_close,income__investment_income,income,投资收益，反映投资类业务贡献。,投资/估值收益簇：都和投资类或公允价值收益相关。,A,0.086041,1,0,,
Q06,y_quarter_avg_daily_return_close,indicator__value_change_profit,indicator,公允价值变动收益，反映估值变动类收益。,投资/估值收益簇：都和投资类或公允价值收益相关。,A,0.004985,0,1,0.826809,
Q07,y_quarter_avg_daily_return_close,indicator__net_profit_margin,indicator,净利率，净利润/收入。,净利率簇：两个字段基本是重复口径。,B,0.179843,1,0,,
Q07,y_quarter_avg_daily_return_close,indicator__net_profit_to_total_revenue,indicator,净利润占总收入比，和净利率几乎同义。,净利率簇：两个字段基本是重复口径。,B,0.179843,0,1,1.0,
